"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.48911915581428e-174,9.17614779684004,0.094,0,9.11042502219585e-170,"9","PRSS35"
2.39700189842682e-129,8.6368367122164,0.071,0,8.77326664843199e-125,"9","AC010967.1"
0,8.0992345469788,0.61,0.004,0,"9","SLC4A10"
5.30278649814674e-40,7.78233555403578,0.024,0,1.94087288618669e-35,"9","AC114930.1"
2.26003532279144e-47,7.66040310850116,0.028,0,8.27195528494895e-43,"9","DAB2IP"
0,7.42972843735541,0.386,0.004,0,"9","TRDV2"
3.27921554118076e-82,7.19266008274544,0.055,0,1.20022568022757e-77,"9","ROR2"
1.71245416250701e-51,6.98357640261945,0.035,0,6.26775348019189e-47,"9","TRGV11"
0,6.57881725076646,0.287,0.005,0,"9","SCART1"
0,10.622667682147,0.21,0,0,"10","CLEC9A"
1.0438264163647e-167,9.9305645819379,0.086,0,3.82050906653645e-163,"10","XCR1"
2.77594040914584e-149,8.71717143484153,0.076,0,1.01602194915147e-144,"10","IDO2"
2.77594040914584e-149,8.63140580920242,0.076,0,1.01602194915147e-144,"10","ERICH5"
5.22823776271656e-94,8.56348310367977,0.048,0,1.91358730353189e-89,"10","ENOX1"
1.95856448701593e-112,8.54271181529065,0.057,0,7.16854187892702e-108,"10","PPY"
5.22823776271656e-94,8.45549701927091,0.048,0,1.91358730353189e-89,"10","LINC02206"
6.17600089427733e-156,8.30146797919744,0.124,0.001,2.26047808731445e-151,"10","IDO1"
2.61406430086871e-96,8.19511819736546,0.057,0,9.56773674760956e-92,"10","AC099560.1"
1.12788789419081e-38,8.18359207105938,0.019,0,4.12818248152779e-34,"10","ADGB"
0,14.5736936654412,0.983,0,0,"11","LRRC26"
0,13.469429208014,0.733,0,0,"11","AC097375.1"
0,12.9279549528759,0.483,0,0,"11","COL26A1"
0,12.3843445185028,0.383,0,0,"11","AL513493.1"
0,11.8320428573941,0.333,0,0,"11","NLRP7"
0,11.8224409842643,0.233,0,0,"11","TTC39A"
0,11.6664798193349,0.483,0,0,"11","SHD"
0,11.5608257278664,0.283,0,0,"11","SMOC1"
0,11.5223254077537,0.3,0,0,"11","KIRREL3"
0,11.4296344440012,0.183,0,0,"11","EPHA2"
0,13.7757967379901,0.727,0,0,"12","AP001189.1"
0,13.6595837805654,0.636,0,0,"12","AC090409.1"
0,13.5437118907551,0.568,0,0,"12","PF4V1"
0,13.4134818322839,0.182,0,0,"12","SLFN14"
0,13.4078958341579,0.614,0,0,"12","LY6G6F"
